t,x,y,dark_L,dark_R,exp_L,exp_R,LC4_L_hz,LC4_R_hz,drive_L,drive_R,P9_hz,LC4_left_hz,LC4_right_hz,DNa01_left_hz,DNa01_right_hz,DNa02_left_hz,DNa02_right_hz,oDN1_left_hz,oDN1_right_hz,GF_hz
0.63,8.153201277832405,1.946962949236822,0.004098360655737705,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.645,8.311481860804022,2.120042999590443,0.02459016393442623,0.0,0.4433399312312047,0.0,8.778130638377853,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.66,8.601291865004956,2.3103078029422144,0.10245901639344263,0.0,2.0259788976878346,0.0,40.114382174219124,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.675,8.742064755409508,2.1588505783610348,0.05737704918032787,0.0,0.3488311048337837,0.0,6.906855875708918,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.69,9.020435645121692,2.053119530166624,0.05737704918032787,0.0,0.23255406988918897,0.0,4.604570583805942,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.705,9.306469079719996,2.1170089699089005,0.05737704918032787,0.0,0.15503604659279266,0.0,3.0697137225372946,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.72,9.362881418587753,2.294086461185808,0.13934426229508196,0.0,1.9248509891675083,0.0,38.112049585516665,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.735,9.564553720142719,2.552245292594964,0.35655737704918034,0.0,6.11019209842497,0.0,120.98180354881441,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.75,9.803917908831348,2.504561865497584,0.4385245901639344,0.0,5.894955023722293,0.0,116.7201094697014,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.765,9.942351835252683,2.3654250709669817,0.48360655737704916,0.0,4.931791509439631,0.0,97.6494718869047,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.78,10.326332243262328,2.215963145133265,0.45901639344262296,0.0,2.7414129188613967,0.0,54.279975793455655,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.795,10.44316376913493,2.4195532104423436,0.8278688524590164,0.0,10.024329924049672,0.0,198.48173249618353,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.81,10.566177245587237,2.587823747693517,0.9918032786885246,0.0,10.325873865577744,0.0,200.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.825,10.857664672392898,2.818999441634405,0.0,0.0,-15.156156949359827,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.84,11.009940622566427,2.6620559480312256,0.0,0.0,-10.104104632906552,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.855,11.270762015240676,2.5699537997716226,0.0,0.0,-6.736069755271035,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.87,11.596084696192124,2.5763954835991427,0.0,0.0,-4.49071317018069,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.885,11.652325805631582,2.7545006698367103,0.0,0.0,-2.9938087801204607,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.9,11.845655578888126,2.9860987202382687,0.0,0.0,-1.9958725200803076,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.915,12.109969943210087,2.993803511969799,0.0,0.0,-1.3305816800535382,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.93,12.249113392555335,2.850200378172964,0.0,0.0,-0.8870544533690258,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.945,12.594368960152908,2.689672513606898,0.0,0.0,-0.5913696355793504,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.96,12.747169678268225,2.872618422315816,0.0,0.0,-0.39424642371956703,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.975,12.8357492294292,3.046727643440904,0.0,0.0,-0.26283094914637795,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
